Filename     : evrp-benchmark-set/E-n22-k4.evrp
Solution time: 17.76
   43- {'Avg': 781.4038861583028, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   44- {'Avg': 778.0975499423656, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   45- {'Avg': 775.4777007629099, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   46- {'Avg': 768.8519084489056, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   47- {'Avg': 767.4641888681115, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   48- {'Avg': 759.3191677133287, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   49- {'Avg': 763.0307449309998, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   50- {'Avg': 769.4760054633266, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   51- {'Avg': 781.6226774916976, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   52- {'Avg': 726.2084742292723, 'Best Individual': (453.58612044201186, [[14, 15, 13], [16, 18, 17], [20, 22, 21, 19], [12, 5, 4, 7, 9, 11], [10, 8, 6, 3, 2]], [[1, 18, 16, 13, 1], [1, 15, 17, 14, 1], [1, 20, 22, 21, 27, 19, 1], [1, 4, 5, 12, 25, 9, 7, 11, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   53- {'Avg': 760.5505264883913, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   54- {'Avg': 732.1420993211484, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   55- {'Avg': 745.9973336496278, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   56- {'Avg': 727.7776780246317, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   57- {'Avg': 715.8594681643327, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   58- {'Avg': 728.4345510741176, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   59- {'Avg': 702.8141737661794, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   60- {'Avg': 716.496195356803, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   61- {'Avg': 704.219563748086, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   62- {'Avg': 706.835384816382, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   63- {'Avg': 694.2958071906074, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
   64- {'Avg': 678.5937096497124, 'Best Individual': (444.35427141254667, [[18, 16, 13], [14, 17, 15], [20, 22, 21, 19], [11, 12, 5, 4, 7, 9], [2, 3, 6, 8, 10]], [[1, 18, 16, 13, 1], [1, 14, 17, 15, 1], [1, 20, 22, 21, 27, 19, 1], [1, 11, 12, 5, 4, 26, 7, 9, 1], [1, 2, 3, 30, 6, 8, 10, 1]])}
